date,volume,high,low,adj_close,close,open
7/22/19,3003720000,2990.71,2976.65,2985.03,2985.03,2981.93
7/23/19,3313660000,3005.9,2988.56,3005.47,3005.47,2994.74
7/24/19,3428980000,3019.59,2996.82,3019.56,3019.56,2998.77
7/25/19,3645270000,3016.31,2997.24,3003.67,3003.67,3016.26
7/26/19,3257590000,3027.98,3012.59,3025.86,3025.86,3013.25
7/29/19,3203710000,3025.61,3014.3,3020.97,3020.97,3024.47
7/30/19,3634330000,3017.19,3000.94,3013.18,3013.18,3007.66
7/31/19,4623430000,3017.4,2958.08,2980.38,2980.38,3016.22
8/1/19,4762300000,3013.59,2945.23,2953.56,2953.56,2980.32
8/2/19,3874660000,2945.5,2914.11,2932.05,2932.05,2943.9
8/5/19,4513730000,2898.07,2822.12,2844.74,2844.74,2898.07
8/6/19,4154240000,2884.4,2847.42,2881.77,2881.77,2861.18
8/7/19,4491750000,2892.17,2825.71,2883.98,2883.98,2858.65
8/8/19,4106370000,2938.72,2894.47,2938.09,2938.09,2896.21
8/9/19,3350640000,2935.75,2900.15,2918.65,2918.65,2930.51
8/12/19,2851630000,2907.58,2873.14,2882.7,2882.7,2907.07
8/13/19,3853600000,2943.31,2877.05,2926.32,2926.32,2880.72
8/14/19,4312530000,2894.15,2839.64,2840.6,2840.6,2894.15
8/15/19,4038000000,2856.67,2825.51,2847.6,2847.6,2846.2
8/16/19,3498150000,2893.63,2864.74,2888.68,2888.68,2864.74
8/19/19,3212880000,2931,2913.48,2923.65,2923.65,2913.48
8/20/19,3066300000,2923.63,2899.6,2900.51,2900.51,2919.01
8/21/19,3011190000,2928.73,2917.91,2924.43,2924.43,2922.04
8/22/19,2890880000,2939.08,2904.51,2922.95,2922.95,2930.94
8/23/19,3937300000,2927.01,2834.97,2847.11,2847.11,2911.07
8/26/19,2857600000,2879.27,2856,2878.38,2878.38,2866.7
8/27/19,3533630000,2898.79,2860.59,2869.16,2869.16,2893.14
8/28/19,3097420000,2890.03,2853.05,2887.94,2887.94,2861.28
8/29/19,3176190000,2930.5,2905.67,2924.58,2924.58,2910.37
8/30/19,3008450000,2940.43,2913.32,2926.46,2926.46,2937.09
9/3/19,3426790000,2914.39,2891.85,2906.27,2906.27,2909.01
